9AC	100 NEW GOWER ST.		SAINT JOHN'S	NL	A1C 6K3
V66	270 Wharfedale Rd	Winnersh Triangle	Wokingham		RG41 5TP
UU6	39 Lowther St		Carlisle		CA3 8EP
V65	2236 Airport Dr	IBM c/o Budget Rent-A-Car	Wichita Falls	TX	76306-2810
UU5	6 Nelson Square		Bolton		BL1 1LH
V64	7 Roxborough Way		Maidenhead		SL6 3UD
UU4	63 Bradshaw Gate		Bolton		BL1 1QD
V63	Springfield House	Hyde Street	Leeds		LS2 9NG
UU3	AXA Centre, Brierly Furlong		Stoke Gifford		BS34 8SW
V62	Otley Rd		Harrogate		HG3 1PY
UU2	AXA Direct House	White Lund Industrial Estate	Morecambe		LA3 3PA
V61	Compass house	Manor Royal	Crawley		RH10 9PY
UU1	175 Corporation St	AXA Equity & Law House	Coventry		CV1 1GD
V60	7 Rue Marcinhes		Geneva		1217
UU0	Beechcroft House, Ervington Court		Leicester		LE19 1WN
V59	Kesselfeld 29		Munster		48163
UT9	20 York St	Glasgow Atlantic Quay	Glasgow		G2 8JH
V58	273 Avenue de Tervueren, Box 3		Brussels		1150
UT8	Philips House, Crescent Rd		Tunbridge Wells		TN1 2PL
V57	4 Research Park Dr, 3rd Floor	Macquarie Uni Research Park	North Ryde	NSW	2113
UT7	PPP House, Meridian East	Meridian Business Park	Leicester		LE19 1UR
V56	4500 Camp Ground Rd		Louisville	KY	40216-4608
UT6	Westcliffe Data Centre, Ballam Rd		Lytham		FY8 5DR
V55	3530 Nashua Dr		Malton	ON	L4V 1S1
UT5	Westcliffe Data Centre. Warton St		Lytham		FY8 2DR
V54	40 University Ave, Suite 200		Toronto	ON	M5J 1T1
UT4	PRINS BERNHARDSTRAAT 1		Zwolle		8019XJ
V53	Gulf Canada Square, Suite 2000		Calgary	AB	T2P 4Z4
UT3	NATO Road		Aspropyrgos		19300
V52	2 Corporate Dr, Suite 730	IBM c/o J.P. Morgan Chase & Co	Shelton	CT	06484-6239
UT1	479 Messoghion Ave		Aghia Paraskevi		15343
V50	80 Pacific Hwy	Lvl 11	North Sydney	NSW	2060
UT0	10 Rue Saint Hilaire	Zone d'Activites du Vert Galant, Saint-Ouen l'Aumone	Cergy		95004
AZ9	PLEINLAAN 17		IXELLES		1050
AZ8	BERKENRODELEI 33		HOBOKEN		2660
AZ7	HAASRODE RESEARCH PARK	GRAUWMEER 1	HEVERLEE		3001
AZ6	Premiere Avenue 44		Herstal		4400
AZ5	THONISSENLAAN 46		HASSELT		3500
V49	9200 Leesburg Pike		Vienna	VA	22182-1656
US9	Cinska 4	Praha 6	Prague		16000
AZ4	RUE DU CERF, 299 B	ORDIPAP	GENVAL		1332
V48	4225 Executive Square	14th Floor	La Jolla	CA	92037-9122
US8	Landstrasse 27-29		Haan		42781
AZ3	VELDSTRAAT 89		GENT		9000
V47	9390 Gateway Dr		Reno	NV	89521-8900
US7	Apor Vilmos ter 6		Budapest		1124
AZ2	2 SINT VICENTIUSPLEIN		GENT		9000
V46	1 Radnor Corporate Ctr		Radnor	PA	19087-4515
US6	Rua Maestro Raul Portela, 1	Lagoal	Paco De Arcos		2780
AZ1	JOSEF PLATEAUSTRAAT 22	JOSEF PLATEAUSTRAAT 22	GENT		9000
V45	210 Carnegie Ctr		Princeton	NJ	08540-6233
US5	Ul Korsykanska 3/49		Warsaw		02671
V44	150 4th Ave N, Suite 1400		Nashville	TN	37219-2409
AZ0	KOOPHANDELSPLEIN 11		GENT		9000
US4	3, Divenskaya Ulitsa, 3rd Floor		Saint Petersburg		197061
US3	Esslinggasse 15		Vienna		1010
V43	3301 Kinsman Blvd		Madison	WI	53704-2523
V42	8211 Scicor Dr		Indianapolis	IN	46214-2985
US2	Riedstrasse 14	Postfach 612	Dietikon		8953
V41	9801 Washingtonian Blvd	9th Floor	Gaithersburg	MD	20878-5355
US1	2, Tasocagi Caddesi	Urfali Is Hani, No. 4, Kat-1, Mecidiyekoy	Istanbul		81090
V40	310 Swamp Bridge Rd	P.O. Box 7200	Denver	PA	17517-8723
US0	1, Dr. Dimitrie Brandza	Sector 6	Bucharest		70524
AY9	INDUSTRIEPARK 4C		GENT		9031
AY8	BELL TELEPHONELAAN 3		GEEL		2440
AY7	12,AVENUE JACQUES GEORGIN		EVERE BRUXELLES		1030
AY6	HUTE 60		EUPEN		4700
AY5	FABRIEKSWEG 1		EERNEGEM		8480
V39	9 Polito Ave Fl	5th Floor	Lyndhurst	NJ	07071-3498
UR9	Krasnokazachya 19-b		Kiev		252073
AY4	THOMSON		EDEGEM		2650
V38	310 Inglesby Pkwy	Michelin DCN	Duncan	SC	29334-9117
UR8	Noordzone, Noordkustlaan 16		Groot-Bijgaarden		1702
AY3	PRINS BOUDEWIJNLAAN 47		EDEGEM		2650
V37	601 12th St S		Arlington	VA	22202-4202
UR7	7601 Penn Ave S		Richfield	MN	55423-3645
AY2	Klausdalsbrovej 601		Ballerup		2750
V36	3265 160th Ave SE	MS 7J-92	Bellevue	WA	98008
UR6	200 Stovall St		Alexandria	VA	22332-4013
AY1	BLDG 04, PRINS BOUDEWIJNLAAN 47-49		EDEGEM		2650
V35	99 Washington Ave		Albany	NY	12210-2801
UR5	12F, No. 9, Siangyang Rd		Taipei		100
AY0	Leonardo Davincilaan 1		Edegem		2650
UR4	754 Peachtree St		Atlanta	GA	30308
V33	315 Red Fox Circle		Asheville	NC	28803-3381
UR3	710 Medtronic Parkway		Minneapolis	MN	55432-5604
V32	1305 Perimeter Rd	Michelin Aircraft Tire Center	Greenville	SC	29605-5466
V31	16 Hyland Rd., Suite 12-A	Michelin Pelham at Hyland	Greenville	SC	29615-5756
UR1	R5, Drakegatan 7 B		Göteborg		41250
V30	One Parkway S	Michelin North America (HNA)	Greenville	SC	29615-5022
UR0	R5, Cylindervägen 18-7 tr		Nacka Strand		13126
B9A	DEANWAY TECHNOLOGY CENTRE	WILMSLOW ROAD	HANDFORTH		SK9 3ET
AX9	BOOIEBOS 6		DRONGEN		9031
AX8	NAZARETSESTEENWEG 7		DEINZE		9800
AX7	DE KLEETLAAN 5		DIEGEM		1831
AX6	SQUARE DES MARTYRS DU 18 AOUT		CHARLEROI		6000
AX5	QUAI DE BRABANT 16		CHARLEROI		6000
V29	Brown Boveristrasse 12		Baden		5401
UQ9	Av. De las Fuentes No.27	Parque Ind. Bernardo Quintana	El Marquez		76246
AX4	CITY 2 RUE NEUVE		BRUXELLES		1000
V28	400 N Academy St	Michelin Data Center (ONC)	Greenville	SC	29601-2044
UQ8	Vidrio 2376 Sector Juárez	Col. Chapultepec Centro	Guadalajara		44150
AX3	BOULEVARD SYLVAIN DUPUIS 243		BRUXELLES		1070
V27	1020 County Rd F W		Shoreview	MN	55126-2910
UQ7	Vidrio 2372 Sector Juárez	Col. Chapultepec Centro	Guadalajara		44150
AX2	ANTWERPSESTEENWEG, 59		BRUXELLES		1000
V26	18 Lonczak Ln		East Brunswick	NJ	08816-5694
UQ6	Victoriano Salado Alvarez #215 4o P	Col. Ladron de Guevara	Guadalajara		44680
AX1	AVENUE DU BOURGET 3		BRUXELLES		1140
V25	1200 W 120th Ave		Westminster	CO	80234-2701
UQ5	Vialidad Oriente No. 1, #7700	Parque Industrial Avalos	Chihuahua		31200
AX0	MARNIXLAAN 15		BRUXELLES		1000
V24	5001 Airport Plaza Dr	M/C C072-240	Long Beach	CA	90815-1251
UQ4	Valle de Saltillo # 528	Co. Industrial Valle de Saltillo	Saltillo		25100
V23	350 W Main		Stamford	CT	06902-5036
UQ3	Periférico Sur 7005.	Col.  San Sebastianito.	Tlaquepaque		45602
V22	2955 Market St	30th St Station	Philadelphia	PA	19104-2817
UQ2	Mineria SN Manzana 1 Lote 302	Col. Rincon de las Palmas (Parque Ind. Milenium)	Santa Catarina		63368
V21	Wakefield House, Pipers Way		Swindon		SN3 1RE
UQ1	Libramiento Leon-Queretaro Km 4.6	Col. Centro Industrial Apolo	Irapuato		36547
UPO	102 Hutchins Dr	UNUM PROVIDENT INSURANCE	Portland	ME	04102-1930
V20	City View Plaza  6th Floor	Road 165  KM 1.2	Guaynabo	PR	00969
UQ0	Eje 140 esq. Calle Morelos 420.	Col. La Pila	San Luis Potosí		78422
UPL	PLAZA INDEPENDENCIA 721		MONTEVIDEO		11000
B8G	SQUARE DES CONDUITES D'EAU 7-8	PARC D'AFFAIRES ZENOBE	LIEGE		4020
B8D	RAZLAGOVA 22		MARIBOR		2000
B8C	8 ESPLANADE DU CHAMP DE MARS		ROUEN		76041
B8B	2 BOULEVARD DE GABES		MARSEILLE		13295
UPE	21-23 Green St, Unit 5	Botany Grove Industrial Estate	East Botany	NSW	2019
AW9	MARNIXLAAN 17		BRUXELLES		1000
AW8	Sveavägen 25	M-real Sverige AB, Box 3364	Stockholm		10367
AW7	WATERLOOSESTENNWEG 1376		BRUXELLES		1180
AW6	TERVURENLAAN 142		BRUXELLES		1150
AW5	WAYEZSTRAAT 125		BRUXELLES		1070
V19	504 Virginia Dr		Fort Washington	PA	19034-2707
UP9	Circuito de la Ind. Sur Mz 19 Lte 2	Parque Ind. Lerma	Lerma		52004
AW4	MARNIXLAAN 13		BRUXELLES		1000
V18	4711 Yonge St		North York	ON	M2N 6K8
UP8	Chiapas 375 Col. Republica	Entre Candela y Cuatrocienegas	Saltillo		25280
AW3	Lozenberg 23, Zaventem	TietoEnator, N.V.	Brussels		1932
V17	1 Dutchtown Rd		Voorhees	NJ	08043-9530
UP7	Carretera 57Qro-SLP Km. 61.8	Al pie de la carretrea 57.	San Jose Iturbide		37980
AW2	ORBANLAAN 229		BRUXELLES		1150
V16	1000 Woodbury Rd	Suite 102	Woodbury	NY	11797-2530
UP6	Carr Manzanillo-Minatitlan Km. 3.5	Col. Tapeixtles	Manzanillo		28876
AVP	900 Aviation Pkwy	IBM c/o Solectron	Morrisville	NC	27560-9218
AW1	MARIE-CHRISTINASTR. 184		BRUXELLES		1020
V15	1475 Dunwoody Dr		West Chester	PA	19380-1478
UP5	Calz. Vallejo 973	Col. Industrial Vallejo	México		02300
AW0	BOULEVARD DU SOUVERAIN, 25		BRUXELLES		1170
V14	2780 Skypark Dr	Suite 300	Torrance	CA	90505-7518
UP4	Calle poniente 140 No. 840,	Col. Industrial Vallejo Complejo Ind.Vallejo, Bodega #2	México		07720
V13	2000 21st Ave NW		Minot	ND	58703-0890
UP3	Blvd. Isdro Lopez Zertuche No 4103	Blvd. Humberto Hinojosa y Blvd. Egipto	Saltillo		25230
V12	20 Washington Ave S		Minneapolis	MN	55401-1908
UP2	Blvd. Isdro Lopez Zertuche No 1896	Entre Blvd. Francisco Coss y Av. Universidad	Saltillo		25230
V11	151 Farmington Ave		Hartford	CT	06156-0002
UP1	Blvd. Isdro Lopez Zertuche No 1495	Entre Blvd. Francisco Coss y Av. Universidad	Saltillo		25230
V10	909 Locust St		Des Moines	IA	50309-2899
UP0	Blvd. Isdro Lopez Zertuche No 4876	Entre Blvd. Francisco Coss y Av. Universidad	Saltillo		25230
B7A	PUUTARHAKATU 19A		TURKU		20100
AV9	3, AVE DU BOURGET		BRUSSELS		1140
AV8	HAVENLAAN 2		BRUSSELS		1080
AV7	BOULEVARD INDUSTRIEL 16		BRUSSELS		1070
AV6	RUE ROYALE 145		BRUSSELS		1000
V09	1290 Broadway		Denver	CO	80203-2122
UO9	Blvd. Isdro Lopez Zertuche No 4003	Periférico Luis Echeverría Álvarez y Blvd. Sarmiento	Saltillo		25230
AV4	BRUDRP RUE STEVIN 65		BRUSSELS		1040
UO8	Blvd. Ind. de Transform No 3140	Col Parque Industrial Ramos Arizpe	Ramos Arizpe		25900
AV3	RUE DE LA LOI 227		BRUSSEL		1040
V07	2850 Eisenhower Ave		Alexandria	VA	22314-4565
UO7	Av. Michoacán # 105,	Col. Guadalupe del Moral	México		09300
AV2	KONING ALBERT 1E LAAN 122		BRUGGE		8200
UO6	Av. Industrias  Metalurgicas 4001	Parque industrial	Ramos Arizpe		25900
AV1	SCHEEPSDALELAAN 9		BRUGGE		8000
V05	Fort Lesley J. McNair	5th Ave, Marshall Hall	Washington	DC	20319-5000
UO5	Av. Acacias Lote 3 Mza 18 Bdg 2	Cd. Ind. Bruno PagliaiEntre la bodega de Nutrileche y la de Liverpool	Veracruz		91691
AV0	BREDABAAN 274		BRASSCHAAT		2930
V04	1100 WIlson Blvd, 11th Floor		Arlington	VA	22209-2249
UO4	Ruiz Cortines e Int. Cydsa S/N		Monterrey		64400
V03	6200 Sprint Parkway	Bldg 6300	Overland Park	KS	66251-6117
UO3	Predio de Buena Vista de Torres	Rancho el Pipinaco	Cosoleacaque		96340
V02	132 National Business Parkway		Annapolis Junction	MD	20701-1014
UO2	Lombardo Toledadno No.100	Col. El Bajo	Chihuahua		31350
UO1	Fernando Montes de Oca No.20	Fracc. Industrial San Nicolas	Tlalnepantla		54020
V00	250 Makalapa Dr		Pearl Harbor	HI	96860-3131
UO0	Estacion Alzada	Municipio de Cuauhtemoc	Colima		28509
UNI	1485 CORPORATE WOODS PKWY		UNIONTOWN	OH	44685-7816
AUC	11900 E Cornell Ave	LUCENT	Aurora	CO	80014-6201
B6C	VIA SCIANGAI 53		ROMA		144
AUB	CHEMIN DE L'AUMONE VIEILLE	PARC L'ANGEVINIERE BT 3	AUBAGNE		13400
B6A	ANKARA ASFALTI N 7 BAYRAKLI		IZMIR		35010
AU9	PRINS ALBERTLEI 29		BERCHEM		2600
AU8	BORSBEEKSEBRUG 12		BERCHEM		2600
AU7	GROOTE STEENWEG, 214		BERCHEM		2600
ATU	SAN MARTIN 6292		TUCUMAN		T4000CVM
AU6	RUE DE GENEVE 175		BRUSSELS		1140
ATT	11301 BURNET RD		AUSTIN	TX	78758-3404
AU5	GROENPLAATS		ANTWERPEN		2000
UN9	Ernesto Pugibet No.2	Fracc. Industral Xalostoc	Ecatepec		55340
AU4	HAVEN 204 WILMARSDONKSTEENWEG 32		ANTWERPEN		2030
UN8	Camino a Fertimex No. 666	Col. Predio San Agustín	Lagos de Moreno		47480
AU3	MECHELSESTEENWEG 3		ANTWERPEN		2018
UN7	Av. 8 de Julio No. 2714	Zona Industrial Guadalajara	Guadalajara		44940
AU2	Dr. RosenOerns Alle 22		Frederiksberg		1999
UN6	Rio Tizapan 1625	Colonia Atlas	Guadalajara		44870
AU1	FRANKRIJKLEI 119		ANTWERP		2000
UN5	Prol. Av. De las Americas S/N	Parque Industrial de las Americas	Chihuahua		31200
AU0	KARLOOMSTRAAT 19		ANTWERP		2000
UN4	Pred Sto Tom SN y Anillo Perimetral		Parral		33800
UN3	Plut. Elias Calls esq Herns Escobar	Col. Fovisste Chamizal	Ciudad Juarez		32310
UN2	Periferico Sur 6369	Col. Tepepan	Mexico		14610
UN1	Nico Bvo 750 Sur esq Emiliano Zap	Col. Almada	Culiacan		80200
UN0	Manzana 2, Seccion C	Cd. Industrial Xicotencatl	Tetla		90430
ATF	3405 W Dr Martin Luther King Jr Blv		Tampa	FL	33607-6207
AT9	AVENUE DE L EXPANSION, 16D		ALLEUR		4432
AT8	KONTISCHSESTEEWEG 54		AARTSELAAR		2630
B57	DELTA 602	DELTA BUSINESS PARK	SWINDON		SN5 7XJ
AT7	KEIZERSPLEIN 40A		AALST		9300
AT6	391-393 TOORONGA	RD HAWTHORN EAST	Melbourne	VIC	3123
AT5	53 POSTFACH 88	CTEC WIEVENOTSTRASSE	WIEN		1122
UM9	Lotes 47 al 50, Manzana 4	Parque Ind Fipasi	Silao		36100
B54	1 LONDON BRIDGE		LONDON		SE1 98D
AT4	11 POSTFACH 126	PERMLOOSER AG OPERNGASSE	WIEN		1043
UM8	Km 117 Autop Mex-Pueb, anexo 2	Oficinas de Administracion	Puebla		72810
AT3	HANDELSKAI 388		VIENNA		1020
UM7	Iturbide 6970	Parque Ind. Longoria	Nuevo Laredo		88000
AT2	Bert Koellensperger Strasse 8a		Thaur		6065
UM6	Eje 128, manzana 10 No. 215	Zona Industrial del Potosi	San Luis Potosi		78395
B51	9 CORNWALL STREET		BIRMINGHAM		B66 1RD
AT1	LINZERSTRASSE 16		SAINT POLTEN		3100
UM5	Carr Salt-Pied Neg Km8.54 No.8540	Parque Ind. Ramos Arizpe Coahuila	Ramos Arizpe		25900
AT0	Steyrerstrasse    32		Sankt Valentin		4300
ULS	SYRLINSTRASSE 38		ULM		89073
UM4	Carretera Panamericana Km. 1588	Calle Cedros S/N	Meoqui		33130
UM3	Carr. Lecheria Chamapa Km 2	Camino viejo a la lumbrera s/n Fraccionamiento Industrial San Martin O	Cuautitlan Izcalli		54763
UM2	Carretera a Don Martin No. 200	Zona Centro	Anahuac		65030
UM1	Carr. Int KM 1969 Gdl-Nogales KM 2	Parque    Industrial Maquila Z-QAWI	Empalme		85340
UM0	Carr. Sendero Nacional Km. 3.5	Parque Ind. Del Norte	Matamoros		87350
ASF	AV. FREIRE 2962		SANTA FE		S3001XAF
ASC	2706 Montopolis Dr	SEMATECH CHORP	Austin	TX	78741-6499
AS9	Porsche Strasse 7		Sankt Polten		3100
AS8	HIRTENGASSE 36/2/3		MATTERSBURG		7210
AS7	LEDERERGASSE 88		LINZ		4020
AS6	Schirmerstrasse 18a		Leonding		4060
AS5	AUGUST-JAKSCH-STRASSE 44/2 & 2A		KLAGENFURT		9020
UL9	Calle Tulum y Monte Alban S/N	Parque Industrial Paquime	Casas Grandes		31700
B44	WALLINGATAN 2	P.O. BOX 1338	STOCKHOLM		SE-111-83
AS4	GRABENWEG 69 / 2/18		INNSBRUCK		6020
UL8	Calle Tapioca No. 9411	Fracc. Infonavit Ampliacion Aeropuerto	Ciudad Juarez		32690
AS3	GEWERBESTRASSE 6		HALLWANGBEI-SALZBURG		5300
UL7	Calle del Parque # 33	Col. Esperanza	Fresnillo		99080
AS2	MESSENDORFER STRASSE 72		GRAZ		8041
UL6	Calle Apozol #101	Col. Solidaridad	Fresnillo		99010
AS1	Wiedengasse 25/Top 23b		GOETZIS		6840
UL5	Calle    Pablo Livas No. 2501	Colonia Las Villas	Guadalupe		87020
ARO	SANTIAGO 360		ROSARIO		S2000LFH
AS0	Industriestrasse 18		Furnitz		9586
UL4	Calle Iturbide No. 1305 Pte	Barrio de Sonora	Sabinas Hidalgo		65200
UL3	Bldv. A. Lopez Mateos # 805 Pte	Col. Las Adelitas	Ciudad Victoria		87020
UL2	Avenida las Fabricas # 5838	Parque Ind. Finsa	Nuevo Laredo		88275
UL1	HMI BLDG, 120-1 DAL-DONG, NAM-GU		ULSAN		680030
UL0	Av. Rafa P. Serna y Henry Dunant SN	Parque Ind. Omega	Ciudad Juarez		32320
ARG	621 NW FRONTAGE RD	SUITE 140	AUGUSTA	GA	30907-9672
ARC	H YRIGOYEN 1957		RIO CUARTO		X5802DYA
AR9	Anton Bruckner Gasse 18		Brunn-Gebirge		2345
AR8	Adolf-Schemel Strasse 9		Anif		5081
AR7	INT TOMKINSON, 2054 SAN ISIDRO	INT TOMKINSON, 2054 SAN ISIDRO	BUENOS AIRES		1642
AR6	Exchange St, Royal Exchange	2nd Floor, Thomson Holidays Limited, Service Center	Manchester		M2 7TT
UK9	Av. Uniones y Las Rusias # 2800	Parque Ind. Del Norte (FINSA)	Matamoros		87310
UK8	Av. Tomas Fernandez No 8643	Paque Idustrial Antonio J. Bermudez	Ciudad Juarez		32470
AR3	140 Fifty Pitches Rd	Caledonia House, Cardonald Business Park	Cardonald		G52 2
UK7	Av. Tecnologico y Juan Kepler 6915		Ciudad Juarez		32320
AR2	Columbus House, Westwood Way	Westwood Business Park	Coventry		CV4 8TT
UK6	Av. Serafin Pena 2055	Col. Villas de la Silla	Guadalupe		67180
UK5	Av. Rio Bravo S/N	Parque Ind. Rio Bravo	Ciudad Juarez		32550
AR0	Southmoor House, Southmoor Rd		Wythenshawe		M23 9LS
UK4	Av. Revolucion 3816 Sur	Col. Torremolinos	Monterrey		64850
UK3	Av. Rafa P. S/N y Henry D. No.525	Parque Ind. Omega	Ciudad Juarez		32320
UK2	Av. Prolong Paseo de la Ref. 1236	Piso 6 Col. Santa Fe, Delegacion Cuajimalpa	Mexico		05348
UK1	Av. Michigan y Prolongacion Uniones	Parque Ind. Del Norte	Matamoros		87300
UK0	Av. Michigan y Ohio S/N	Parque Industrial del Norte	Matamoros		87370
B2D	MAXGLANER HAUPTSTRASSE 72		SALZBURG		5020
B2A	ASTRA HOUSE, JACK HORE PLACE		WODONGA	VIC	3690
APX	87-95 Pitt St	Australian Square Plaza	Sydney	NSW	2000
UJ9	Esslinggasse 13		Vienna		1010
APS	20 Knightsbridge Rd		Piscataway	NJ	08854-3913
UJ8	Av. Fomento Industrial S/N	Parque Ind. del Norte	Reynosa		88500
B23	HANDELSKADE 49		RIJSWIJK		2289
UJ7	Av. del Hierro esq. Cerrada Cromo	Col. Industrial	Villahermosa		86280
UJ6	Av. De las Industrias 1230	Panque Ind. Antonio J. Bermudez	Ciudad Juarez		32470
UJ5	Paseo Loma Real No.2	Parque Ind. Rio Bravo	Nuevo Laredo		88274
APO	AYACUCHO 2242		POSADAS		N3300MLV
UJ4	Miguel de Cervantes No.110	Complejo Ind. Chihuahua	Chihuahua		31109
UJ3	Calle Miguel Catalan No.420	Parque Ind. Rio Bravo	Ciudad Juarez		32700
APM	1000 REPUBLIC DR	SUITE 685	ALLEN PARK	MI	48101-3636
UJ2	Blvd. Michigan No.1	Parque Ind. Rio Grande	Nuevo Laredo		88000
UJ1	Blvd. Interamerican No. 220	Parque Ind. Finsa Monterrey	Apodaca		66600
UJ0	Ave. Del Charro No.1751	Col. La Playa	Ciudad Juarez		32310
B1C	DABROVSKIEGO 22		KATOWICE		40954
APA	1247 S Cedar Crest Blvd	LUCENT	Allentown	PA	18103-6259
B19	TRANSISTORSTRAAT 7	P.O. BOX 60000	ALMERE		1322
AP8	Caradog House, Cleppa Park	Coedkernew	Newport		NP10 8UG
AP7	Online House, The Avenue, Cleppa Pa	Coedkernew	Newport		NP10 8UG
AP6	Jul. Thomsens Plads 1		Frederiksberg		1925
UI9	Av. Pque. Industrial Mty No. 608	Parque Ind. Monterrey	Apodaca		66600
UI8	Av. H. Colegio Militar No.4701	Col. Nombre de Dios	Chihuahua		31300
UI7	Av De la Juventud Perimetral S/N	Parque Ind. El Saucito	Chihuahua		31020
UI6	Av. Parque Vía # 198 PB.	Col. Cuahutemoc	México		05699
UI5	Blvd M. Avila Camacho # 1	Colonia Polanco	México		11560
B10	WESSELENYI UTCA 16	P.O. BOX 163	BUDAPEST		1117
UI4	Av. Libramiento Sta Rosa 111	Col. Apodaca	Monterrey		66600
UI3	Calle del Puente No. 222	Ejidos de Huipulco	México		14380
UI2	Carretera a El Castillo # 2100		El Salto		45680
UI1	Libramiento Arco Vial Km. 3.08		Garcia		66000
UI0	Fernando Montes de Oca No. 71	Col. Condesa	México		06140
AOH	15 W 6th St	AT&T	Cincinnati	OH	45202-2307
ANY	80 STATE ST		ALBANY	NY	12207-2543
B08	FRIEDRICHSTRASSE 14		STUTTGART		70033
ANT	4111 NORTHSIDE PKWY, NW		ATLANTA	GA	30327-3015
UH9	Carr. Tampico-Mante Km. 17.5		Altamira		89601
UH8	Carr. Mty-Saltillo Km 340 No. 721	Santa Catarina	Monterrey		66350
UH7	Carr. Mty-Monclova Km. 11.5	El Carmen	Monterrey		66550
UH6	Camino al Mezquital No. 200		San Nicolas de los Garza		66440
ANP	500 Northpoint Pkwy	AT&T	Alpharetta	GA	30005
UH5	Blvd. Petrocel Km. 0.5		Altamira		89600
UH4	Ave. Los Angeles 325 Ote.	Col. Cuahutemoc	San Nicolas de los Garza		66452
UH3	Ave. Del Bosque No. 139	Col. Cuahutemoc	San Nicolas de los Garza		66450
ANM	2155 LOUISIANA NE	SUITE 10500	ALBUQUERQUE	NM	87110-5423
UH2	Av.Pas de la Juventud No340 Nte	Col. Cuahutemoc	San Nicolas de los Garza		66450
UH1	Av. Gomez Morin No. 1112	Col. Carrizalejo	San Pedro Garza Garcia		66254
ANK	4501 BUS PARK BLVD		ANCHORAGE	AK	99503-7167
UH0	Av. Gomez Morin No. 1111	Col. Carrizalejo	San Pedro Garza Garcia		66250
ANJ	30 Knightsbridge Rd		Piscataway	NJ	08854-3913
ANG	5760 W 96th St		Los Angeles	CA	90045-5544
ANE	PENALOZA 55		NEUQUEN		Q8351XAL
AN7	Units A, B & C, Chequers Business p	Chequers lane	Derby		DE21 6AW
AN5	36 Hertford St, Hertford House		Coventry		CV1 1LF
AMT	7201 I-40 WEST	SUITE 220	AMARILLO	TX	79106-2634
UG9	Bosque de Ciruelos No. 99,	Col. Bosques de las Lomas	México		11700
UG8	Prof. Rafaél Ramírez No.1050 Ote	Col. Obrera	Monterrey		64010
AMR	4703 Parkside Dr	XCEL ENERGY	Amarillo	TX	79109-7509
UG7	Guillermo Gonzales C. # 333	Centro Santa Fe	México		01210
UG6	Av. Irapuato S/N	Cd. Industrial Irapuato	Irapuato		36541
UG5	Av. De los pinos S/N	Ex hacienda Xalapa	Huehuetoca		54680
UG4	Av. Reforma No. 350 Piso 16	Col. Juarez	Mexico		66000
UG3	Ctra. Faro Mesa Roldan S/N		Almeria		04003
UG2	Ctra. Calanda Km. 5		Andorra		44500
UG1	C/ La Balsa S/N		Puentes de Garcia Rodriguez		15320
UG0	Ctra. Sa Pobla s/n		Alcudia		07400
AME	OLASCUAGA 1480		MENDOZA		M5507XAD
AMA	HIPOLITO YRIGOYEN 2149	MARTINEZ PROVINCIA DE	BUENOS AIRES		B1640HFQ
ALX	5, MAHMOUD ABDEL MOMEIM SHAKER, ST		ALEXANDRIA		9999
ALT	600 Northpoint Pkwy		Alpharetta	GA	30005-8887
UF9	Caserío El Matorral	C.T. Barranco	San Bartolome de Tirajana		35107
UF8	Ctra. De la Catalana S/N		Sant Adria De Besos		08930
ALR	300 Northpoint Pkwy	AT&T	Alpharetta	GA	30005-4116
UF7	C/ Muelle Canonero Dato s/n		Ceuta		51001
AM2	48 Chiswell St		London		EC1Y 4XX
UF6	Plaza de Espana s/n		Melilla		29880
AM1	Cheltenham & Gloucester plc, Chartw	Barnes Wallis Rd	Fareham		PO15 5TT
UF5	C/ Ancha S/N		Puerto Real		11510
UF4	Ctra. Valencia 1157.5		Tarragona		43006
ALN	1200 Peachtree Rd NE	AT&T	Atlanta	GA	30309-3504
UF3	C/ Estacio S/N		Tarragona		43006
UF2	Av. Candina S/N		Murcia		30002
UF1	Ctra. Cordoba KM 155		Puertollano		13500
UF0	Av Alcalde Jose Ramirez Bethencourt	22	Las Palmas de Gran Canaria		35004
ALG	1505 WINDWARD CONCOURSE		ALPHARETTA	GA	30005-4180
ALB	ROERDALSVEJ 44		ALBORG		9000
ALA	3500 BLUE LAKE DR		BIRMINGHAM	AL	35243-1900
AL9	Riverside Park	Campbell Road	Stoke on Trent		ST4 4EY
AL6	Kongensfade 2		Helsingoer		3000
UE9	P.I. Palmones (Guadalcorte)		Cádiz		11370
UE8	Montearenas		Ponferrada		24400
AL3	Lennox Wood	Southwater Business Park	Southwater		RH13 9JJ
UE7	C/ Joan Maragall 16		Palma de Mallorca		07006
UE6	Av. Borbolla 5		Sevilla		41003
UE5	Cubillos del Sil		Leon		24492
UE4	C/ San Miguel 10		Zaragoza		50001
UE3	109 Bannister Rd		Canning Vale	WA	6155
UE2	601 Blackburn Rd		Notting Hill	VIC	3168
AKL	82 WYNDHAM STREET		AUCKLAND		1001
UE1	36 Archerfield Rd		Darra	QLD	4076
UE0	Bapaume Rd		Moorebank	NSW	2170
AKC	5, Allee Pierre de Fermat		Aubiere		63170
AJU	BENITO DE MIGUEL 629		JUNIN		B600ABM
UD9	26 Auburn Rd		Regents Park	NSW	2143
UD8	Barrio Arratzubi, s/n		Lesaca		31770
UD7	Avda. Partenon 4-6	2 Planta Modulo 1	Madrid		28042
